Charity_Legal_Name,Charity_Website,Charity_Size,charity_ID,age
Aglow International Australia Ltd.,www.aglowaus.com.au,Medium,16223,11
Southport Church Of Christ,www.scc.org.au,Large,16233,65
Flash Drive Beyond the Classroom Inc.,www.flashdrive.org.au,Small,16269,13
AusViet Charity Fund,http://www.avcf.org.au,Small,16339,6
Bayside Community Emergency Relief Inc,https://www.baysidecommunityemergencyrelief.com.au,Small,16340,2
Ian Lindeman Memorial Winter Solstice Swim,http://wintersolsticeswim.com/,Small,16361,2
Duke Street Community House Association,www.dsch.org.au,Medium,16373,49
Warm Blankets For Everyone Incorporated,wbfe.org,Small,16392,2
Emmanuel Christian Outreach Incorporated,www.ecochurch.org.au,Small,16407,18
Workforce Plus Inc,http://www.workforceplus.com.au,Large,16439,38
The Silver Coin Project Incorporated,www.thesilvercoinproject.com,Small,16453,4
North Queensland Primary Healthcare Network Limited,www.nqphn.com.au,Large,16457,6
Organisation for Good Ltd.,www.mikesmithprojects.com/forgoodgroup,Small,16470,5
Lakeside Baptist Church Inc,lakeside.asn.au,Large,16490,32
Bethlehem Monastery,www.poorclare.org.au,Small,16550,71
Barrier Breakers Inc,www.barrierbreakers.org.au,Small,16555,16
C3 Central City Incorporated,http://www.c3centralcity.org/,Medium,16564,24
Hope Reins Inc,www.hopereins.org.au,Medium,16585,12
Anglican Parish Of Grafton,www.graftoncathedral.org.au,Small,16596,180
Life Christian Church Forth Inc,www.lifechristianchurch.org.au,Medium,16633,17
OUR LADY OF LA VANG SHRINE,https://trungtamthanhmaulavang.org.au/,Medium,16669,28
North & North West Community Legal Service Inc,www.nnwcls.org.au,Large,16699,26
Cat Welfare Society Inc,https://www.cathaven.com.au/,Large,16720,60
Parish Of Box Hill And Box Hill North,www.scsfx.org.au,Medium,16757,95
Stirling State Emergency Service,dfes.wa.gov.au/contactus,Small,16772,22
Life Church Ltd,www.lifechurch.org.au,Small,16780,27
Rainbows For The Children Of Australia,https://rainbows.org.au/,Small,16790,37
Manningham Uniting Church,www.manninghamuc.org,Medium,16827,10
Abundant Life Initiative Ltd,www.cityhopecare.com,Medium,16834,15
World Expeditions Foundation Ltd,www.worldexpeditions.com.au,Small,16835,14
Boyne Valley Community Discovery Centre Inc.,https://boynevalley.org.au/,Small,16905,21
Newman Womens Shelter,www.nws.org.au,Large,16927,22
ZANE AUSTRALIA,www.zaneaustralia.org.au,Medium,16929,9
Church Of Christ Red Cliffs,https://www.redcliffschurchofchrist.org.au,Small,17045,99
Aa Service Council For Western Australia,http://www.aaperthwa.org,Small,17067,87
Revival Centres International Shepparton,revivalcentres.org,Small,17068,31
Australian Islamic Mission Incorporated (operating in Victoria),https://www.facebook.com/AustralianIslamicMissionAIM/,Large,17078,16
SABRINASREACH4LIFE,https://sabrinasreach4life.com.au/,Small,17122,3
Hervey Bay Gospel Chapel,hbgospelchapel.com.au,Small,17130,124
Mandurah State Emergency Service,https://mandurahses.org.au/,Small,17149,23
Association of Educational Counsellors and Relationship Educators of WA INC,https://www.aecre.org.au,Small,17153,16
Volunteering Tasmania Inc,http://volunteeringtas.org.au,Large,17157,29
FATHERHEART MINISTRIES AUSTRALIA LTD,www.fatherheartaustralia.net.au,Small,17195,3
Australian Peacekeeper and Peacemaker Veterans' Association Ltd,https://peacekeepers.asn.au/,Small,17239,24
Richmond Wellbeing Incorporated,www.rw.org.au,Large,17248,47
Australian Lutheran World Service,www.alws.org.au,Large,17251,72
One Community Church Inc,https://www.one.org.au/,Large,17253,118
Soroptimist International Of Beenleigh Inc,https://www.siswp.org/club-finder/13-beenleigh-inc.html,Small,17271,34
Jobtrain Pty Ltd,http://www.selectabilitytraining.com.au,Medium,17294,35
The Roman Catholic Church For The Diocese Of Bathurst As Trustee For The Catholic Development Fund,www.bathurst.catholic.org.au,Large,17376,58
New Day Christian Church,https://ndccnsw.wixsite.com/newdaychurch,Small,17395,62
St Fidelis Catholic Church Moreland,https://stfidelisparish.org.au,Small,17412,95
Catholic Parish Of St James Blayney,www.bathurst.catholic.org.au,Small,17477,91
Australian Association Of The Order Of Malta Limited,www.orderofmalta.org.au,Medium,17515,12
Grace City Church Inc,http://www.gracecitychurch.org.au,Medium,17568,31
The Trustee For The Freedom Project,www.thefreedomproject.org,Small,17582,12
Southern Sydney Women's Therapy Centre Inc,www.womenscounselling.com.au,Large,17603,28
Greaterlife Incorporated,www.greaterlife.com.au,Small,17614,23
St Mary Of The Assumption Catholic Church Keilor Downs/Kealba,http://www.stmaryoftheassumption.org.au,Medium,17640,37
Pekelach Inc,https://www.pekelach.org.au/,Small,17675,3
Illawarra Legal Centre Inc,illawarralegalcentre.org.au,Large,17712,37
The Corporation Of The Synod Of The Diocese Of Rockhampton,angcentralwestqld.com,Small,17743,125
The Kerslake Foundation Limited,www.kerslakefoundation.org.au,Small,17807,6
Ramsgate RSL sub-Branch (RSL NSW),rslnsw.org.au,Small,17822,60
JOBSBANK LIMITED,http://www.jobsbank.org.au,Large,17836,2
PHOENIX FOUNDATIONS HOUSING RELIEF LIMITED,https://www.phoenixfoundations.org.au/,Small,17846,2
Cbd Chabad Tzedaka Incorporated,https://www.cbdchabad.org.au,Small,17878,12
Uca-Fiji Parish,www.facebook.com/UCAFijiParish,Medium,17882,31
Rotary Australia World Community Service Limited,https://www.rawcs.org.au,Large,17916,35
Holy Family Catholic Church Doveton,https://holyfamilydoveton.org.au,Small,17949,60
Aboriginal Evangelical Fellowship Family And Youth services Inc,www.aef.org.au,Small,17958,28
Kingaroy BaconFest Inc.,www.kingaroybaconfest.com.au,Small,18001,4
Australian Civil Air Patrol,auscap.org.au/,Small,18071,24
St Luke's Healing Foundation,www.stlukeshealingfoundation.org,Small,18154,18
Wangaratta Anglican Emergency Food Group,www.wangaratta-anglican.org.au,Small,18178,41
Peel Youth Services Incorporated,http://www.choyces.org.au,Medium,18244,29
Carers Association Of Western Australia Incorporated,https://www.carerswa.asn.au/,Large,18255,31
MarionLIFE Community Services Incorporated,www.marionlife.org.au,Medium,18258,37
Feed the Farms Incorporated,www.feedthefarms.org.au,Small,18261,5
Ballina Christian Assembly,bwcc.org.au,Small,18263,42
Knit4Charities Inc,knit4charities.org.au,Small,18292,18
Ukrainian Catholic Church Parish of Our Lady of Protection,https://catholicukes.org.au/parishes/brisbane/,Small,18310,21
The Religious Society Of Friends Blue Mountains Local Meeting,https://www.quakersaustralia.info/,Small,18317,48
Uca Wentworthville Congregation,http://www.wentworthville.unitingchurch.org.au/,Small,18331,45
Espod Geelong Inc,www.espodgeelong.org.au,Small,18335,35
Australian Drink Driving Simulator Inc,www.swincar.net.au,Small,18338,20
Elwood/St Kilda West Parish,https://www.shscparish.org.au,Medium,18346,104
Baw Baw Combined Churches Food Relief Inc.,https://www.bawbawfoodrelief.org,Medium,18386,20
Sex Workers Outreach Project Incorporated,https://swop.org.au/,Large,18403,7
Heaven's Song Philadelphia Christian Center The Church Of Jesus King Of Kings And Lord Of Lords,www.heavensongchurch.com.au,Small,18422,14
Australian Sign Language Interpreters Association Qld,https://aslia.com.au/about-us/state-associations/qld/,Small,18450,19
AusRelief Limited,www.ausrelief.org,Large,18477,7
Harvest Fields International Apostolic Ministries Ltd,www.hfiam.org,Small,18483,6
Co-Ground Limited,www.co-ground.org,Small,18490,6
THE AMIEL SOCIETY LTD,https://www.stleonards.vic.edu.au/the-amiel-society/,Small,18519,3
Julatten Initiative Group Inc,www.julattencommunitycentre.com.au,Medium,18594,31
Holy Saviour Catholic Church Glen Waverley North,www.cam.org.au/glenwaverleynorth,Small,18628,48
Community Housing Council Of Sa Inc,chcsa.org.au,Medium,18697,25
Squared Away Incorporated,squaredaway.org.au,Small,18703,4
Isolated Children's Parents' Association Of Australia Incorporated,www.icpa.com.au,Small,18705,51
The Global Women's Project Ltd,www.theglobalwomensproject.com.au,Small,18713,8
Wyndarra Centre Inc For Wyndarra Board Of Management,www.wyndarra.org.au,Large,18724,39
The Reformed Church Of Gosford Property Holding Association Limited,https://www.wamberalreformed.com.au,Small,18755,44
Uniting Church In Australia - Geraldton Parish,www.lighthousegeraldton.com,Medium,18777,45
Action for Agriculture,www.pictureyouinagriculture.com.au,Small,18800,13
Sisters Of Charity Community Care Limited,https://www.sistersofcharity.org.au/what-we-do/our-ministries/community-care/,Medium,18834,22
Mid Richmond Neighbourhood Centre Inc,www.mrnc.com.au,Large,18843,36
Architects Without Frontiers,www.architectswithoutfrontiers.com.au,Small,18857,17
Catalyst Foundation Inc,www.catalystfoundation.com.au,Large,18861,28
Anglicord Limited,anglicanoverseasaid.org.au,Large,18862,17
Vineyard Mercy Centre Ltd,www.vineyardmercy.org.au,Small,18868,16
Yarrawonga Neighbourhood House Incorporated,www.ynh.org.au,Medium,18872,26
The June Long Foundation,www.medicalerroraustralia.com,Small,18878,26
Northern Health Research Training & Equipment Trust,www.nhfoundation.org.au/,Large,18896,17
BURMESE COMMUNITY DEVELOPMENT COLLABORATION,http://bcdcaustralia.org.au/     https://mettacommunitycare.org.au/,Medium,18897,11
Your Aged Care At Home Ltd,youragedcare.org,Large,18921,7
Perth Bread Of Life Christian Church Inc.,www.perthbol.org.au,Small,19023,7
National Zakat Foundation Incorporated,www.nzf.org.au,Large,19123,9
UCA -  Mt Dromedary Parish,https://mtdromedary.uca.org.au,Small,19142,45
Two Good Foundation,www.twogood.com.au,Large,19189,5
Aldgate Church Of Christ Incorporated,www.aldgatevillagewell.org,Small,19190,25
NEW SEASONS CHURCH LTD,www.newseasonschurch.org.au,Small,19228,2
The Trustee For Kinglake Ranges Foundation Trust,www.krfoundation.org.au,Small,19252,9
St Mary Magdalens Catholic Church Jordanville,http://smmchadstone.com.au/,Small,19262,29
St Marks Lutheran Church Dalby Inc,www.stmarksdalby.com.au,Small,19288,55
Armadale Congregational Church Inc,https://armadalechurch.org/,Small,19344,119
Multicultural Youth South Australia Incorporated,https://www.mysa.com.au/,Large,19383,25
The Corporation Of The Synod Of The Diocese Of Brisbane,www.anglicanchurchsq.org.au,Large,19397,118
Anglican Community Services,www.anglicare.org.au,Large,19403,63
Boonah District Kindergarten Association Incorporated,https://www.candk.asn.au/boonahdistrict,Medium,19413,15
Melbourne Sae-Soon Church,http://www.melsaesoon.org,Medium,19431,18
Faith Lutheran Church Warradale Incorporated,http://www.warradale.lutheran.org.au,Small,19459,61
Worship Centre Ltd,http://www.thechristianchurch.com.au,Medium,19505,22
Chevra Hatzolah Melbourne Inc,www.hatzolah.org.au,Large,19517,27
Diverse Communities & Social Services (DCSS Australia) Indigenous & LGBTIQ+ National Community Justice & Social Services (CJP) Indigenous Social Enterprise Charity,https://www.dcssaustralia.org/,Small,19543,8
St Pauls Lutheran Congregation Sydney,www.stpaulssydney.org,Small,19548,107
Immaculate Conception Catholic Church Hawthorn,https://www.immaculateconceptionaust.com,Medium,19564,153
Gateway Community Care Limited,www.gatewaycommunitycare.net.au,Medium,19571,10
St John's Care,https://www.stjohnscare.org.au/,Medium,19591,32
Catholic Parish Of St.Patrick Lithgow,www.bathurst.catholic.org.au,Small,19598,180
Christian Family Centre Warragul & District Inc,www.churchontarwin.org.au,Small,19633,50
Kokoda Angels Incorporated,http://www.kokodaangels.com,Small,19664,14
Dadirri Melton Counselling Services Inc.,www.dadirricounselling.org.au,Small,19669,2
Maronites on Mission Australia,www.maronitesonmission.com,Medium,19672,9
Youth With A Mission Canberra Incorporated,www.ywamcanberra.org,Medium,19673,46
St Thomas'Anglican Church Of Australia Werribee,www.sites.google.com/site/stacwerribee/Home,Small,19684,172
The Trustee For Noel's Social Services,www.nss-m.com,Small,19700,12
Financial Rights Legal Centre,https://financialrights.org.au/,Large,19740,36
St Pauls Catholic Church West Sunshine,http://pol.org.au/sunshinewest/Home.aspx,Small,19773,69
Basalt to Bay Land Care Network Inc,www.basalttobay.org.au,Small,19796,14
National Landcare Network Limited,www.nln.org.au,Large,19811,5
Waves of Wellness Foundation Ltd,www.foundationwow.org,Medium,19816,5
Brisbane House of Prayer Ltd.,www.brisbanehop.org/,Small,19825,4
Nexus Primary Health Limited,www.nexusprimaryhealth.org.au,Large,19876,35
Horizons - Local and Beyond,www.ukraineaid.com.au,Small,19935,20
Heaven Acts Christian Church Incorporated (NSW),www.heavenacts.com,Medium,19960,15
Tom Price State Emergency Service Unit Inc,None,Small,20022,27
Queensland Para Sailing Academy inc,https://www.qpsa.org.au,Small,20044,3
Community Mediation Service Tasmania Inc,www.positivesolutions.com.au,Medium,20066,31
Evangelical Chinese Church Of Sydney Limited,http://www.eccsydney.org.au/,Small,20067,37
St Vincent De Paul Society (Tasmania) Inc.,www.vinnies.org.au,Large,20068,48
Hands-On-Health Australia,www.hoha.org.au,Small,20121,23
Mackay Conservation Group,www.mackayconservationgroup.org.au,Medium,20144,35
St Ita's Catholic Church - Drouin,www.cdsale.org.au,Small,20194,63
Holy Trinity Parish,www.facingthetruth.org.au,Medium,20218,67
St Thomas The Apostle Catholic Church Blackburn Parish,https://stthomastheapostle.org.au,Medium,20230,68
Morwell Neighbourhood House & Learning Centre (Inc 3256),www.morwellnh.org.au,Medium,20249,38
Farmers Across Borders - Hay From WA Inc.,www.farmersacrossborders.com.au,Small,20267,2
Georges River Life Care Limited,http://www.grlifecare.org.au,Medium,20271,15
Anglican Parish of Nelson Bay,www.allsaintsnelsonbay.org,Medium,20296,122
Cornerstone Ministry Inc,cornerstone-ministries.org,Medium,20309,23
Divine Family Care Inc,www.divinefamilycare.org,Small,20336,9
Australian Lions Foundation,http://www.alf.lions.org.au,Large,20337,38
Australian Association of Gerontology Research Trust,https://www.aag.asn.au/education/aag-research-trust,Small,20382,6
The Surfers Sunrise Wheelchair Trust,http://www.rotarysurferssunrise.org,Small,20391,21
Wyong Preschool Kindergarten Association Incorporated,www.wyongpreschool.com.au,Large,20403,47
Charity Union Ltd,www.charityunion.org,Small,20464,4
DOING GOOD REWARDS FOUNDATION OVERSEAS AID DEVELOPMENT LTD.,www.doinggoodfund.org,Small,20483,3
GIVE INDUSTRIES LIMITED,https://www.giveindustries.com.au/,Medium,20485,3
SOJOURNERS COLLECTIVE LTD,www.sojo.org.au,Medium,20493,2
Uca - St Michael's Uniting Church,stmichaels.org.au,Small,20544,45
Ballarat Hospice Care Incorporated,www.ballarathospicecare.org.au,Large,20616,38
Anglicare North Coast,www.anglicarenorthcoast.org.au,Large,20653,23
The New South Wales Freemasons Disaster Relief Fund,https://www.masons.org.au,Small,20658,134
Baptist Church Coffs Harbour,www.coffsharbourbaptistchurch,Medium,20688,63
New Horizons Enterprises Limited,www.newhorizons.org.au,Large,20699,41
Caroline Chisholm Society,www.caroline.org.au,Large,20710,53
R.H.S. Nominees Pty. Ltd.,www.rhsa.org.au,Small,20711,46
Living Waters Church,www.livingwaterschurch.com.au,Small,20735,20
Couples For Christ (Australia) Global Mission Incorporated,www.cfcaustralia.org,Small,20768,23
Royal Flying Doctor Service Of Australia (South Eastern Section) Victorian Operations,www.flyingdoctor.org.au/,Large,20772,21
AgBiz Assist Limited,www.agbizassist.org.au,Large,20789,16
Hope Myanmar Partnership Australia Incorporated,hopemyanmar.org,Small,20812,16
Plymouth Brethren Christian Church,https://www.plymouthbrethrenchristianchurch.org,Small,20829,10
Wesley Community Services Limited,http://www.wesleymission.org.au,Large,20837,9
Mama Lana's Community Foundation,mamalanas.org.au,Small,20841,8
Living Stream Ministries Incorporated,www.lsm.org.au,Small,20852,17
Uca - Parramatta Mission,https://www.parramattamission.org.au/,Large,20911,51
Stroke And Disability Information Hunter Incorporated,www.strokeanddisabilityinformation.org.au,Medium,20922,34
Merri Outreach Support Service ltd,www.merri.org.au,Large,20951,33
Islamic Society of Palmerston Incorporated,www.isp.org.au,Small,20976,19
St Alphonsa Syro-Malabar Cathedral Parish Melbourne North,https://www.alphonsacathedral.church,Medium,20988,6
Uca Manning Uniting Church,www.manning.uca.org.au,Medium,20997,45
Rights Information and Advocacy Centre Inc.,www.riac.org.au,Large,21001,36
Henri Nouwen House Incorporated,www.henrinouwenhouse.com.au,Small,21008,24
The Trustee For MSC Necessitous Circumstances Fund,www.mscmission.org.au,Small,21029,13
Geelong Food Relief Centre Inc.,https://geelongfoodrelief.org/,Large,21079,23
Wave Care Inc,www.wavecare.org.au,Medium,21117,44
Mallacoota Community Health Infrastructure and Resilience Fund Incorporated,http://www.chirf.org.au,Medium,21119,5
Planetshakers Empower Limited,https://www.empoweraustralia.com.au/,Large,21130,6
Jewish Russian Community Soup Kitchen Ltd,https://www.facebook.com/souperkitchenmelb/,Small,21140,6
Glory Faith Family Church Ltd,https://gloryfaithfamily.org.au,Small,21145,5
Break The Cycle Glenquarie Inc,www.btc.org.au,Small,21217,17
Disability Rights Advocacy Service Incorporated,dras.com.au,Large,21262,31
Hepatitiswa (Inc.),hepatitiswa.com.au,Large,21267,30
Newlife Shield Inc,http://www.newlife-shield.org.au,Small,21281,5
THE TRUSTEE FOR WAHROONGA ROTARY FOUNDATION,https://www.wahroongarotary.org/,Small,21283,9
Bribie Christian Church Ltd,http://freedomchurch.org.au,Small,21293,21
Darwin Community Legal Service Inc,http://www.dcls.org.au,Large,21330,31
Positive Life NSW Incorporated,positivelife.org.au,Large,21364,33
Uca - Forest Hill Congregation,https://foresthillunitingchurch.com/,Small,21411,45
Council Of Small Business Organisations Of Australia Limited,https://www.cosboa.org.au/,Large,21433,38
ActsCare Limited,actscare.com.au,Large,21473,28
Reach Church Fraser Coast,www.reachcfc.com.au,Medium,21501,95
Onecare Geelong Limited,www.onecaregeelong.org.au,Small,21503,19
NACare Foundation,http://nacare.org.au,Small,21508,6
St Anthony Of Padua Melton South,https://stanthonyofpadua.com.au,Small,21522,38
Pilbara Community Legal Service Incorporated,https://www.pcls.net.au/,Large,21676,24
Saint Philips Catholic Church Blackburn North,http://stphilipsblackburnnorth.weebly.com,Small,21680,56
Queenscliff Surf Life Saving Club,https://www.queensie.com/,Medium,21715,98
Mallacoota & Genoa Broadcasting Association Incorporated,www.3mgb.org.au,Small,21736,28
Simaid Trust,www.sim.org.au,Large,21756,40
Living Stone Foundation Inc,https://wa.lifeline.org.au/,Large,21782,35
Noarlunga Centre Church Of Christ Community Care Incorporated,nccofc.org.au,Small,21794,37
The Living Way Church,www.livingway.org.au,Small,21808,28
Our Lady Of Victories Catholic Church Camberwell,https://www.stdominics.org.au,Medium,21820,147
WA RETURN RECYCLE RENEW LTD,http://www.warrrl.com.au,Large,21859,3
Farm Aid Australia Ltd,http://www.farmaidaustralia.org,Small,21866,2
Maroubra Surf Life Saving Club Incorporated,www.maroubraslsc.com.au/,Medium,21884,116
Fifty For A Farmer,www.fiftyforafarmer.com.au,Small,21900,1
Melbourne Bangjoo church,https://oakleighbaptist.org/ko/,Small,21911,8
Health And Development Aid Abroad Australia Fund Inc.,hada.org.au,Large,21945,25
RURAL BUSINESS TASMANIA INC.,www.ruralbusinesstasmania.org.au,Large,21970,35
Freedom Harvest Ministries International Inc.,www.freedomharvestministries.org,Small,22012,10
RIDMA Foundation Inc,www.ridma.org.au,Small,22050,8
The Catholic Parish Of Ivanhoe,https://www.ivanhoecatholics.com,Medium,22106,17
Western Sydney University Enterprises Pty Limited,https://www.westernsydney.edu.au/thecollege,Large,22115,31
Parish Of Lindisfarne - The Little Shop,www.lindisfarneanglican.org.au/littleshop,Small,22134,57
Givlife Incorporated,https://www.givlife.org.au,Small,22144,14
Queensland Farmers' Federation Ltd,https://www.qff.org.au,Large,22153,30
Destiny Incorporated,www.destinyinc.org.au,Small,22168,28
Glow Church,www.glowchurch.com,Large,22245,10
Women's Museum of Australia,http://www.wmoa.com.au,Small,22258,29
Victorian Men's Shed Association Inc,www.vmsa.org.au,Small,22269,15
Kyogle Family Support Service Inc,www.kyoglefamilysupportservices.org,Medium,22321,24
Catholic Parish Of St.Ignatius Oberon,www.bathurst.catholic.org.au,Small,22372,154
Numurkah Community Learning Centre Inc,www.nclcinc.vic.edu.au,Medium,22442,37
Atisha Centre Inc,www.atishacentre.org.au,Medium,22457,41
The Australian Mutuals Foundation Limited,www.australianmf.org,Medium,22480,6
Disaster Relief Australia,http://www.disasterreliefaus.org,Large,22500,5
Community Smiles Limited,https://Communitysmiles.org.au,Small,22528,4
Freddy Bear Foundation,http://freddymatch.org,Small,22531,4
Permatil Global Ltd,https://permatilglobal.org/,Small,22545,2
Sewa International Australia Inc,www.sewainternational.org.au,Large,22595,30
HOLY FAMILY CATHOLIC PARISH MAIDSTONE & BRAYBROOK,https://www.hfp.org.au,Medium,22620,95
D A M E C Incorporated,www.damec.org.au,Large,22654,33
Port Elliot Surf Life Saving Club Inc.,www.portelliotslsc.com.au,Small,22664,58
NSW Farmers Natural Disaster Relief Fund Inc,www.nswfarmers.org.au,Large,22666,31
THE REDEEMED CHRISTIAN CHURCH OF GOD JESUS WORSHIP CENTRE INC,www.rccgjesusworshipcentre.org.au,Medium,22668,9
Powerhouse Christian Church Inc,https://www.facebook.com/powerhouseccdoonside/,Small,22686,47
Uca Nyngan ,www.nynganuniting.church,Small,22697,44
Door Of Hope Australia Incorporated,www.doorofhopeaustralia.org,Small,22709,22
UCA - Wyong Uniting Church,www.wyong.uca.org.au,Small,22740,45
St Margaret Marys,http://pol.org.au/brunswicknorth,Small,22764,106
Australian Orthopaedic Association,http://www.aoa.org.au,Large,22771,84
Green Cross Australia,https://www.greencrossaustralia.org/,Small,22848,15
Ranges Foundation,krfoundation.org.au,Small,22883,11
Phillip Island Baptist Church,islandbaptist.org.au,Small,22926,38
Soil and Health Library Inc.,www.soilandhealth.org/,Small,22974,7
NEW JERUSALEM CHURCH,https://www.newjerusalemchurch.info,Small,23080,2
Campbelltown Senior Cyber Seekers Inc,www.cyberseekers.org.au,Small,23131,21
The Women's Shed - Hills Shire Incorporated,https://thewomensshedhillsshire.com.au/,Small,23152,3
The Rainbow Paws Program,www.rainbowpaws.org,Small,23158,6
Chhori Chhari Children's Foundation Ltd,chhorichhari.org,Small,23175,6
Share the Dignity Ltd,www.sharethedignity.com.au/,Large,23176,7
Centre for Universal Design Australia Ltd,universaldesignaustralia.net.au/,Small,23181,5
Medical Cannabis Research Australia Limited,www.mcra.org.au,Small,23192,5
Grace And Glory Ministries International,www.ggmi.org,Small,23196,12
OUTSIDE THE LOCKER ROOM CHARITY LTD,www.otlr.com.au,Small,23222,3
CSI Church Sydney Incorporated,www.csichurchsydney.org/,Small,23251,6
Complex Trauma WA Inc.,https://www.complextraumawa.org.au,Small,23254,3
Southern Cross Rodnovery,rodnovery.paraveda.net,Small,23306,4
The Trustee For The Salvation Army (Sa) Social Work,https://www.salvationarmy.org.au/,Large,23310,13
FM Bellarine Incorporated,www.feedmebellarine.com.au,Medium,23330,2
Mount Beauty Neighbourhood Centre Inc,www.mountbeauty.org.au,Medium,23335,34
St Joseph's Catholic Church Malvern,https://stjosephsmalvern.org.au,Medium,23384,40
Dorset Community Association Incorporated,http://www.dorsethouse.org.au,Medium,23393,21
Friends Of Mallacoota Inc,http://savebastionpoint.org/,Small,23437,39
Sim Australia,www.sim.org.au,Large,23454,64
The Trustee For One Thousand Villages Fund,www.onethousandvillages.org,Small,23466,15
Islamic Association Of Western Suburbs Sydney Inc,https://www.iawss.com.au,Medium,23479,31
Central Coast Emergency Accommodation Services Ltd,www.coastshelter.org.au,Large,23520,21
C3 Destiny Church Incorporated,c3destinychurch.com,Small,23596,24
Gold Coast Mosque Trust,www.goldcoastmosquetrust.org.au,Medium,23625,8
The Miracle Centre Inc.,https://www.ggmi.org,Small,23668,39
Compass Baptist Church Incorporated,http://www.compassbaptistchurch.com.au,Small,23701,20
Australian Marist Solidarity Limited,www.australianmaristsolidarity.org.au,Large,23716,18
Glossodia Community Information & Neighbourhood Centre Inc,www.glossodiacc.org.au,Medium,23742,40
Recovery Ready Communities Incorporated,www.rrcinc.org.au,Small,23751,2
Fur Life Foundation Fund,https://www.furlifefoundation.org.au/,Small,23755,2
DHARMA CARE INC,http://www.dharmacare.org.au,Medium,23810,40
NSW Cave Rescue Squad Inc,https://caverescue.org.au/,Small,23813,48
Top Livin,www.livin.org,Large,23843,7
AusViet Charity Foundation Limited,http://www.avcf.org.au,Small,23859,6
R.I.T.C.H Foundation Limited,www.pentanasolutions.com,Small,23871,6
Katalyst Foundation Ltd,www.katalystfoundation.org,Small,23874,5
Cooma UC Incorporated,www.cucsnowymonaro.edu.au,Medium,23901,7
Neighbourhood Centres of Bellingen Shire Inc,http://www.ncobs.org.au,Large,23913,2
TENTERFIELD SOCIAL DEVELOPMENT COMMITTEE INC,https://www.facebook.com/TenterfieldSocialDevelopment,Medium,23976,32
One Vision Aid,www.onevisionaid.org,Small,23979,7
We Are Community Incorporated,http://www.wearecommunity.org.au,Small,24036,4
Laverton Parish Catholic Church,https://www.lavertonparish.org.au,Medium,24044,54
The Trustee For The Salvation Army (NSW) Social Work,https://www.salvationarmy.org.au/,Large,24077,13
The Baptist Union Of Queensland - Carinity,carinity.org.au,Large,24084,73
Fairhaven Surf Life Saving Club Incorporated,https://www.fairhavenslsc.org/,Medium,24096,64
Horse Welfare Inc,www.horsewelfare.com.au,Small,24098,13
Australasian Institute of Emergency Services,www.aies.net.au,Small,24115,45
Linking Communities Network Ltd,https://www.lcn.org.au,Large,24133,36
The Greek Orthodox Church And Benevolent Society Of St. George (Hobart),www.greekcommunitytas.com.au,Medium,24143,64
Bereavement Assistance Limited,www.bereavmentassistance.org.au,Medium,24196,25
Havelock Housing Association Incorporated,www.havelock.asn.au,Large,24232,34
Sheltered By Grace Limited,http://www.sbg.org.au,Medium,24263,12
Muslim Global Aid Limited,www.muslimglobalaid.org.au,Medium,24287,8
Reality Church Ltd,https://myreality.church,Medium,24299,8
Scots Presbyterian Church,www.maitlandpresbyterianchurch.org.au,Small,24309,191
Sunshine Coast Animal Rescue,https://www.instagram.com/sunshinecoastanimalrescue,Small,24311,1
Vipassana Charitable Foundation Of Wa Inc,padipa.dhamma.org,Small,24329,26
The Trustee For The Honda Foundation,www.hondafoundation.com.au,Medium,24358,30
Catholic Parish Of St.Dominic Kandos,www.bathurst.catholic.org.au,Small,24359,171
Youth Affairs Council Of Wa Inc,www.yacwa.org.au,Large,24370,42
St Peter Apostle Catholic Church Hoppers Crossing,https://stpeterapostlemission.org.au,Medium,24387,45
Queensland Natural Gas Exploration & Production Industry Safety Forum Association Incorporated,https://www.safertogether.com.au/,Large,24395,8
Sunshine Coast Health Foundation,wishlist.org.au,Large,24417,24
SUSTAIN Projects - Myanmar Inc,http://www.sustainmyanmar.org,Small,24420,17
VICTOR HARBOR LUTHERAN HOMES INC,www.harborvillage.com.au,Medium,24464,37
Field Of Dreams Australia,www.fieldofdreams.org.au,Medium,24487,15
Amity Community Services Inc,https://www.amity.org.au,Large,24554,46
Drought Angels Ltd.,www.droughtangels.org.au,Large,24572,6
IMAN FOUNDATION LIMITED,www.imanfoundation.org.au,Small,24586,5
SAVE THE CHILDREN IMPACT FUND LIMITED,www.savethechildren.org.au,Small,24613,3
St Peters Catholic Church Clayton,https://www.stpetersclayton.com,Small,24688,70
Phoenix Australia - Centre for Posttraumatic Mental Health Ltd,www.phoenixaustralia.org,Large,24691,22
St Colman's Catholic Church - Balaclava,http://pol.org.au/balaclava,Small,24735,94
Holy Trinity Church Orange,holytrinityorange.com.au,Medium,24743,165
UnitingWorld,https://www.unitingworld.org.au/,Large,24753,2
United Nations Association Of Australia Incorporated,www.unaa.org.au,Small,24762,77
Eden Community Access Centre Inc,www.eden.nsw.au,Medium,24800,18
YWCA Canberra,www.ywca-canberra.org.au,Large,24865,87
Vets for Compassion Incorporated,www.vetsforcompassion.org,Small,24926,5
Better Foundation,www.betterfoundation.org.au,Medium,24941,6
The Maronite Order of the Blessed Virgin Mary,http://www.stjohnpaul2.com.au/,Small,24996,3
